Product,Price,Image URL
Insumed Manage Diabeties,"KSh 3,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/046976/1.jpg?5361
Generic Kids Montessori Puzzles,KSh 600,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/2309621/1.jpg?6621
Generic Kids Montessori Puzzles,KSh 600,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2309621/1.jpg?6620
Huawei Super Charger Micro USB,KSh 800,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/979598/1.jpg?6674
ViteDox Colon Cleanse,"KSh 2,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/879166/1.jpg?3887
Derma Roller MICRO NEEDLING FACE SKIN REJUVENATION,KSh 397,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/032498/1.jpg?9124
Heaven PURE NATURAL EGYPTIAN HONEY 1.5 KGS (3 PACK OF 500G),"KSh 1,275",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/2401311/1.jpg?3940
Generic Microfiber Hair Fast Drying Towel - Blue,KSh 600,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/215537/1.jpg?3016
Oraimo Pure Bass-Earphones- Free Rubber Buds,KSh 220,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/276388/1.jpg?4989
Generic TRIPOD STAND FOR MOBILE PHONES CAMERA WITH HOLDER CLIP,"KSh 1,247",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/613719/1.jpg?3653
"Vitron 50"" Inch FRAMELESS BLUETOOTH INBUILT DECODER 4K UHD Android TV 1.5GBRAM,8GBROM","KSh 32,549",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/0215511/1.jpg?2251
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,KSh 924,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/249074/1.jpg?6954
Garnier Even & Matte Vitamin C Anti-Dark Spot Booster Serum With Niacinamide + Salicylic Acid 30ml,"KSh 1,280",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/109074/1.jpg?8253
Fashion Back To School Shoes Genuine Pure Leather,"KSh 708 - KSh 1,099",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/421044/1.jpg?0208
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,050",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/255851/1.jpg?7614
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,KSh 899,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/908043/1.jpg?2939
Fashion 6Pcs Soft Cotton Checked Men's Boxers ? Multicolor,KSh 618,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/432928/1.jpg?7106
HP V250W Flash Disk With Clip - 64GB - Silver,KSh 709,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/632592/1.jpg?6933
"Vitron HTC3200S,32 Inch Frameless Smart Android TV,InbuiltDecoder Netflix,Appstore","KSh 13,695",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/017613/1.jpg?9012
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 9,790",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/786019/1.jpg?4815
Deliya Hair Blow Dryer 2200W Hair Dryer+6 Gifts,"KSh 1,880",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/851222/1.jpg?7167
Softleaf Softleaf Virgin Toilet Paper 10 Pack,KSh 510,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/529544/1.jpg?4221
Nova 2 In 1 Hair Straightener Curling Iron-Gold,KSh 930,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/789992/1.jpg?9225
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),"KSh 1,280",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/082586/1.jpg?3437
Soko Soko Maize Meal - 2Kg,KSh 201,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/568482/1.jpg?6193
Yixin 3 Pack Men's Summer Loose Short Sleeve T-shirt,KSh 859,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/977618/1.jpg?2185
Fashion 4pcs Men Underwear Boxers Panties Comfortable Soft,KSh 499 - KSh 599,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/735688/1.jpg?5177
Fashion Mens Vintage Graffiti Shirts Floral Ethnic Casual T-Shirts,KSh 750 - KSh 820,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/676158/1.jpg?9873
Fashion Men's  Casual Round Neck T-Shirt  3 Pack,KSh 599,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/120648/1.jpg?2005
Wlisth Luminous Tungsten Steel  Waterproof Fashion Couple Watch Calendar Quartz Watch,KSh 899,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/339249/1.jpg?4895
Fashion T-shirt 3 Pcs Men's Fashion Short Sleeve 100% High Quality,KSh 960,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/147838/1.jpg?1361
Fashion 2 In 1 Men's Fashion Business Long Sleeve Shirt-black/white,"KSh 1,230",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/855519/1.jpg?9053
Fashion 3 In 1 Fashion Men's Stretch Tank Top (Underwear) ? Black/White/Grey,KSh 710,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/051929/1.jpg?2816
Fashion Men's Breathable Cotton Underwear 4pcs - Multicolor,KSh 469,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/748539/1.jpg?7634
Fashion 6Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 289,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/898539/1.jpg?7608
Generic Desktop Foldable Telescopic Phone Holder - White,KSh 238,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/690829/1.jpg?2122
Wlisth Women's Stainless Steel Quartz Wristwatch,KSh 625,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/936783/1.jpg?3278
Generic Macaroon Bluetooth Wireless EarphonesEarbuds-White,KSh 468,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/239354/1.jpg?9249
"Fashion Large Capacity Collapsible Luggage Bag, Waterproof Travel / Fitness Backpack",KSh 925,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/370476/1.jpg?6716
Fashion Household Dish Rack Kitchen Utensils Storage Drain Rack,KSh 199,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/837198/1.jpg?3569
"Generic 14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 335,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/879423/1.jpg?8231
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",KSh 915,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/231233/1.jpg?1756
Power King Heavy Duty 4-Way Extension Cable,KSh 390,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/031702/1.jpg?5106
Phelistar Outdoor Digital TV Aerial Antenna + 3 FREE GIFTS,KSh 699,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/768186/1.jpg?0486
Phelistar Digital TV Aerial Antenna,KSh 590,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/186902/1.jpg?4821
Power King Extension Cable - 5 Way - White.,KSh 438,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/269662/1.jpg?9390
Power King 6 Way Extension Cable + Free 5 Way Extension,KSh 560,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/635554/1.jpg?7494
Qwen Wireless Bluetooth Headphones LED Foldable-Pink,KSh 900,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/423226/1.jpg?7933
Generic 14''- 43'' TV Flat Panel Wall Bracket Holder,KSh 350,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/744053/1.jpg?6671
"Generic 14"" - 43"" TV Wall Mounting Bracket + Audio Cable",KSh 390,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/537739/1.jpg?1594
"Home Design 14""-55"" ROTATING And TILT Wall Bracket",KSh 950,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/546586/1.jpg?4181
Generic HDMI Cable 1.5 Meters - Black,KSh 262,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/542613/1.jpg?5089
Power King FRIDGE Guard + Free 4 Way Power King Extension,KSh 890,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/298253/1.jpg?6274
"Phelistar Antenna Aerial & 14"" - 43"" Mount For Digital TV",KSh 900,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/211974/1.jpg?2548
Multiple Power AA 1.2V 3000mAh Rechargeable Batteries,KSh 498,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/340996/1.jpg?3232
"Vitron Smart 32"" FRAMELESS  Android TV HTC3200S Netflix & Youtube.","KSh 12,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/709868/1.jpg?7987
